object,green,orange,blue,red,magenta
Acinetobacter_tjernbergiae-10,0.600,0.000,0.400,0.000,0.000
Cloacibacterium-11,0.500,0.500,0.000,0.000,0.000
Comamonas_testosteroni-10,0.000,1.000,0.000,0.000,0.000
Cloacibacterium-10,0.000,1.000,0.000,0.000,0.000
Acidovorax-11,0.000,1.000,0.000,0.000,0.000
Streptococcus-11,0.500,0.000,0.000,0.000,0.500
Propionibacterium_acnes-11,0.500,0.000,0.000,0.000,0.500
Comamonas_testosteroni-11,0.000,1.000,0.000,0.000,0.000
Acidovorax-8,0.500,0.000,0.000,0.000,0.500
Novosphingobium-9,0.000,1.000,0.000,0.000,0.000
Corynebacterium-11,0.000,0.000,0.000,0.000,1.000
Acinetobacter_junii-10,0.000,0.000,1.000,0.000,0.000
Zoogloea-9,0.000,1.000,0.000,0.000,0.000
Pseudomonas-8,0.000,1.000,0.000,0.000,0.000
Moraxella-11,1.000,0.000,0.000,0.000,0.000
Lactobacillus-10,1.000,0.000,0.000,0.000,0.000
Delftia-11,0.000,0.000,0.000,1.000,0.000
Corynebacterium-10,0.000,0.000,1.000,0.000,0.000
Sphingobium-10,0.000,1.000,0.000,0.000,0.000
Sediminibacterium-11,0.000,0.000,1.000,0.000,0.000
Pseudomonas-9,0.000,1.000,0.000,0.000,0.000
Propionibacterium_acnes-9,0.000,1.000,0.000,0.000,0.000
Propionibacterium_acnes-10,0.000,1.000,0.000,0.000,0.000
Moraxella-10,0.000,0.000,0.000,1.000,0.000
Kocuria-10,0.000,0.000,1.000,0.000,0.000
Comamonas_testosteroni-9,0.000,1.000,0.000,0.000,0.000
Comamonas_jiangduensis-11,0.000,1.000,0.000,0.000,0.000
Bradyrhizobium-10,0.000,0.000,1.000,0.000,0.000
Bacillus-10,0.000,1.000,0.000,0.000,0.000
Anaerococcus-8,1.000,0.000,0.000,0.000,0.000
Acinetobacter_tjernbergiae-11,1.000,0.000,0.000,0.000,0.000
Acinetobacter_junii-9,0.000,0.000,1.000,0.000,0.000
Acinetobacter_baumannii-9,1.000,0.000,0.000,0.000,0.000
Acinetobacter_baumannii-8,1.000,0.000,0.000,0.000,0.000
Acidovorax-9,0.000,0.000,1.000,0.000,0.000
Achromobacter-9,0.000,1.000,0.000,0.000,0.000
Achromobacter-10,0.000,0.000,1.000,0.000,0.000
